docId	sentId	word	lemma	label
S0006322312001096-1136	0	Data	datum	O
S0006322312001096-1136	0	were	be	O
S0006322312001096-1136	0	drawn	draw	O
S0006322312001096-1136	0	from	from	O
S0006322312001096-1136	0	the	the	O
S0006322312001096-1136	0	Whitehall	Whitehall	O
S0006322312001096-1136	0	II	II	O
S0006322312001096-1136	0	study	study	O
S0006322312001096-1136	0	with	with	O
S0006322312001096-1136	0	baseline	baseline	O
S0006322312001096-1136	0	examination	examination	O
S0006322312001096-1136	0	in	in	O
S0006322312001096-1136	0	1991	1991	B-Quantity
S0006322312001096-1136	0	;	;	O
S0006322312001096-1136	0	follow	follow	O
S0006322312001096-1136	0	-	-	O
S0006322312001096-1136	0	up	up	O
S0006322312001096-1136	0	screenings	screening	O
S0006322312001096-1136	0	in	in	O
S0006322312001096-1136	0	1997	1997	B-Quantity
S0006322312001096-1136	0	,	,	I-Quantity
S0006322312001096-1136	0	2003	2003	I-Quantity
S0006322312001096-1136	0	,	,	I-Quantity
S0006322312001096-1136	0	and	and	I-Quantity
S0006322312001096-1136	0	2008	2008	I-Quantity
S0006322312001096-1136	0	;	;	O
S0006322312001096-1136	0	and	and	O
S0006322312001096-1136	0	additional	additional	O
S0006322312001096-1136	0	disease	disease	O
S0006322312001096-1136	0	ascertainment	ascertainment	O
S0006322312001096-1136	0	from	from	O
S0006322312001096-1136	0	hospital	hospital	O
S0006322312001096-1136	0	data	datum	O
S0006322312001096-1136	0	and	and	O
S0006322312001096-1136	0	registry	registry	O
S0006322312001096-1136	0	linkage	linkage	O
S0006322312001096-1136	0	on	on	O
S0006322312001096-1136	0	5318	5318	B-Quantity
S0006322312001096-1136	0	participants	participant	I-Quantity
S0006322312001096-1136	0	(	(	O
S0006322312001096-1136	0	mean	mean	O
S0006322312001096-1136	0	age	age	O
S0006322312001096-1136	0	54.8	54.8	B-Quantity
S0006322312001096-1136	0	years	year	I-Quantity
S0006322312001096-1136	0	,	,	O
S0006322312001096-1136	0	31	31	B-Quantity
S0006322312001096-1136	0	%	%	I-Quantity
S0006322312001096-1136	0	women	woman	O
S0006322312001096-1136	0	)	)	O
S0006322312001096-1136	0	without	without	O
S0006322312001096-1136	0	depressive	depressive	O
S0006322312001096-1136	0	symptoms	symptom	O
S0006322312001096-1136	0	at	at	O
S0006322312001096-1136	0	baseline	baseline	O
S0006322312001096-1136	0	.	.	O
S0006322312001096-1136	1	Vascular	vascular	O
S0006322312001096-1136	1	risk	risk	O
S0006322312001096-1136	1	was	be	O
S0006322312001096-1136	1	assessed	assess	O
S0006322312001096-1136	1	with	with	O
S0006322312001096-1136	1	the	the	O
S0006322312001096-1136	1	Framingham	Framingham	O
S0006322312001096-1136	1	Cardiovascular	Cardiovascular	O
S0006322312001096-1136	1	,	,	O
S0006322312001096-1136	1	Coronary	Coronary	O
S0006322312001096-1136	1	Heart	Heart	O
S0006322312001096-1136	1	Disease	Disease	O
S0006322312001096-1136	1	,	,	O
S0006322312001096-1136	1	and	and	O
