docId	sentId	word	lemma	label
S0012821X12004384-1302	0	Correspondence	correspondence	O
S0012821X12004384-1302	0	analysis	analysis	O
S0012821X12004384-1302	0	(	(	O
S0012821X12004384-1302	0	CA	CA	O
S0012821X12004384-1302	0	)	)	O
S0012821X12004384-1302	0	and	and	O
S0012821X12004384-1302	0	statistical	statistical	O
S0012821X12004384-1302	0	diversity	diversity	O
S0012821X12004384-1302	0	analysis	analysis	O
S0012821X12004384-1302	0	were	be	O
S0012821X12004384-1302	0	carried	carry	O
S0012821X12004384-1302	0	out	out	O
S0012821X12004384-1302	0	on	on	O
S0012821X12004384-1302	0	the	the	O
S0012821X12004384-1302	0	palynological	palynological	O
S0012821X12004384-1302	0	dataset	dataset	O
S0012821X12004384-1302	0	(	(	O
S0012821X12004384-1302	0	total	total	O
S0012821X12004384-1302	0	counts	count	O
S0012821X12004384-1302	0	per	per	O
S0012821X12004384-1302	0	gram	gram	O
S0012821X12004384-1302	0	)	)	O
S0012821X12004384-1302	0	to	to	O
S0012821X12004384-1302	0	confirm	confirm	O
S0012821X12004384-1302	0	assemblage	assemblage	O
S0012821X12004384-1302	0	designations	designation	O
S0012821X12004384-1302	0	(	(	O
S0012821X12004384-1302	0	Figs	Figs	O
S0012821X12004384-1302	0	.	.	O
S0012821X12004384-1302	0	4	4	O
S0012821X12004384-1302	0	and	and	O
S0012821X12004384-1302	0	5	5	O
S0012821X12004384-1302	0	)	)	O
S0012821X12004384-1302	0	,	,	O
S0012821X12004384-1302	0	to	to	O
S0012821X12004384-1302	0	identify	identify	O
S0012821X12004384-1302	0	any	any	O
S0012821X12004384-1302	0	disturbance	disturbance	O
S0012821X12004384-1302	0	to	to	O
S0012821X12004384-1302	0	the	the	O
S0012821X12004384-1302	0	core	core	O
S0012821X12004384-1302	0	prior	prior	O
S0012821X12004384-1302	0	to	to	O
S0012821X12004384-1302	0	interpretation	interpretation	O
S0012821X12004384-1302	0	,	,	O
S0012821X12004384-1302	0	and	and	O
S0012821X12004384-1302	0	to	to	O
S0012821X12004384-1302	0	estimate	estimate	O
S0012821X12004384-1302	0	diversity	diversity	O
S0012821X12004384-1302	0	(	(	O
S0012821X12004384-1302	0	Fig	Fig	O
S0012821X12004384-1302	0	.	.	O
S0012821X12004384-1302	0	6	6	O
S0012821X12004384-1302	0	)	)	O
S0012821X12004384-1302	0	.	.	O
S0012821X12004384-1302	1	Dinoflagellate	Dinoflagellate	O
S0012821X12004384-1302	1	cyst	cyst	O
S0012821X12004384-1302	1	assemblages	assemblage	O
S0012821X12004384-1302	1	(	(	O
S0012821X12004384-1302	1	DA1	DA1	O
S0012821X12004384-1302	1	–	–	O
S0012821X12004384-1302	1	DA5	DA5	O
S0012821X12004384-1302	1	)	)	O
S0012821X12004384-1302	1	and	and	O
S0012821X12004384-1302	1	pollen	pollen	O
S0012821X12004384-1302	1	assemblages	assemblage	O
S0012821X12004384-1302	1	(	(	O
S0012821X12004384-1302	1	PA1	pa1	O
S0012821X12004384-1302	1	–	–	O
S0012821X12004384-1302	1	PA4	PA4	O
S0012821X12004384-1302	1	)	)	O
S0012821X12004384-1302	1	were	be	O
S0012821X12004384-1302	1	defined	define	O
S0012821X12004384-1302	1	by	by	O
S0012821X12004384-1302	1	visually	visually	O
S0012821X12004384-1302	1	comparing	compare	O
S0012821X12004384-1302	1	changes	change	O
S0012821X12004384-1302	1	in	in	O
S0012821X12004384-1302	1	the	the	O
S0012821X12004384-1302	1	species	species	O
S0012821X12004384-1302	1	dominance	dominance	O
S0012821X12004384-1302	1	(	(	O
S0012821X12004384-1302	1	Figs	Figs	O
S0012821X12004384-1302	1	.	.	O
S0012821X12004384-1302	1	7	7	O
S0012821X12004384-1302	1	and	and	O
S0012821X12004384-1302	1	8)	8)	O
S0012821X12004384-1302	1	,	,	O
S0012821X12004384-1302	1	and	and	O
S0012821X12004384-1302	1	confirmed	confirm	O
S0012821X12004384-1302	1	by	by	O
S0012821X12004384-1302	1	CA	CA	O
S0012821X12004384-1302	1	(	(	O
S0012821X12004384-1302	1	Fig	Fig	O
S0012821X12004384-1302	1	.	.	O
S0012821X12004384-1302	1	4	4	O
S0012821X12004384-1302	1	)	)	O
S0012821X12004384-1302	1	using	use	O
S0012821X12004384-1302	1	the	the	O
S0012821X12004384-1302	1	first	first	O
S0012821X12004384-1302	1	three	three	O
S0012821X12004384-1302	1	axes	axis	O
S0012821X12004384-1302	1	(	(	O
S0012821X12004384-1302	1	describing	describe	O
S0012821X12004384-1302	1	the	the	O
S0012821X12004384-1302	1	highest	high	O
S0012821X12004384-1302	1	percentages	percentage	O
S0012821X12004384-1302	1	of	of	O
S0012821X12004384-1302	1	variance	variance	O
S0012821X12004384-1302	1	)	)	O
S0012821X12004384-1302	1	.	.	O
S0012821X12004384-1302	2	Five	five	B-Quantity
S0012821X12004384-1302	2	samples	sample	O
S0012821X12004384-1302	2	from	from	O
S0012821X12004384-1302	2	below	below	O
S0012821X12004384-1302	2	the	the	O
S0012821X12004384-1302	2	CIE	CIE	O
S0012821X12004384-1302	2	at	at	O
S0012821X12004384-1302	2	2619.60	2619.60	B-Quantity
S0012821X12004384-1302	2	,	,	I-Quantity
S0012821X12004384-1302	2	2617.35	2617.35	I-Quantity
S0012821X12004384-1302	2	,	,	I-Quantity
S0012821X12004384-1302	2	2617.44	2617.44	I-Quantity
S0012821X12004384-1302	2	,	,	I-Quantity
S0012821X12004384-1302	2	2614.73	2614.73	I-Quantity
S0012821X12004384-1302	2	,	,	I-Quantity
S0012821X12004384-1302	2	and	and	I-Quantity
S0012821X12004384-1302	2	2614.71	2614.71	I-Quantity
S0012821X12004384-1302	2	m	m	I-Quantity
S0012821X12004384-1302	2	(	(	O
S0012821X12004384-1302	2	indicated	indicate	O
S0012821X12004384-1302	2	in	in	O
S0012821X12004384-1302	2	Fig	Fig	O
S0012821X12004384-1302	2	.	.	O
S0012821X12004384-1302	2	5	5	O
S0012821X12004384-1302	2	)	)	O
S0012821X12004384-1302	2	contain	contain	O
S0012821X12004384-1302	2	Apectodinium	Apectodinium	O
S0012821X12004384-1302	2	,	,	O
S0012821X12004384-1302	2	in	in	O
S0012821X12004384-1302	2	contrast	contrast	O
S0012821X12004384-1302	2	to	to	O
S0012821X12004384-1302	2	the	the	O
S0012821X12004384-1302	2	other	other	O
S0012821X12004384-1302	2	samples	sample	O
S0012821X12004384-1302	2	below	below	O
S0012821X12004384-1302	2	the	the	O
S0012821X12004384-1302	2	CIE	CIE	O
S0012821X12004384-1302	2	(	(	O
S0012821X12004384-1302	2	Figs	Figs	O
S0012821X12004384-1302	2	.	.	O
S0012821X12004384-1302	2	3	3	O
S0012821X12004384-1302	2	and	and	O
S0012821X12004384-1302	2	7	7	O
S0012821X12004384-1302	2	)	)	O
S0012821X12004384-1302	2	.	.	O
S0012821X12004384-1302	3	Some	some	O
S0012821X12004384-1302	3	of	of	O
S0012821X12004384-1302	3	these	these	O
S0012821X12004384-1302	3	samples	sample	O
S0012821X12004384-1302	3	(	(	O
S0012821X12004384-1302	3	2619.60	2619.60	B-Quantity
S0012821X12004384-1302	3	,	,	I-Quantity
S0012821X12004384-1302	3	2614.73	2614.73	I-Quantity
S0012821X12004384-1302	3	,	,	I-Quantity
S0012821X12004384-1302	3	and	and	I-Quantity
S0012821X12004384-1302	3	2614.71	2614.71	I-Quantity
S0012821X12004384-1302	3	m	m	I-Quantity
S0012821X12004384-1302	3	)	)	O
S0012821X12004384-1302	3	also	also	O
S0012821X12004384-1302	3	contain	contain	O
S0012821X12004384-1302	3	negative	negative	O
S0012821X12004384-1302	3	δ13CTOC	δ13ctoc	O
S0012821X12004384-1302	3	,	,	O
S0012821X12004384-1302	3	indicative	indicative	O
S0012821X12004384-1302	3	of	of	O
S0012821X12004384-1302	3	the	the	O
S0012821X12004384-1302	3	CIE	CIE	O
S0012821X12004384-1302	3	(	(	O
S0012821X12004384-1302	3	Fig	Fig	O
S0012821X12004384-1302	3	.	.	O
S0012821X12004384-1302	3	3	3	O
S0012821X12004384-1302	3	)	)	O
S0012821X12004384-1302	3	.	.	O
S0012821X12004384-1302	4	To	to	O
S0012821X12004384-1302	4	test	test	O
S0012821X12004384-1302	4	if	if	O
S0012821X12004384-1302	4	coincident	coincident	O
S0012821X12004384-1302	4	pollen	pollen	O
S0012821X12004384-1302	4	and	and	O
S0012821X12004384-1302	4	spore	spore	O
S0012821X12004384-1302	4	changes	change	O
S0012821X12004384-1302	4	also	also	O
S0012821X12004384-1302	4	occur	occur	O
S0012821X12004384-1302	4	in	in	O
S0012821X12004384-1302	4	these	these	O
S0012821X12004384-1302	4	samples	sample	O
S0012821X12004384-1302	4	,	,	O
S0012821X12004384-1302	4	we	we	O
S0012821X12004384-1302	4	used	use	O
S0012821X12004384-1302	4	CA	CA	O
S0012821X12004384-1302	4	on	on	O
S0012821X12004384-1302	4	the	the	O
S0012821X12004384-1302	4	pollen	pollen	O
S0012821X12004384-1302	4	and	and	O
S0012821X12004384-1302	4	spore	spore	O
S0012821X12004384-1302	4	data	datum	O
S0012821X12004384-1302	4	only	only	O
S0012821X12004384-1302	4	(	(	O
S0012821X12004384-1302	4	Fig	Fig	O
S0012821X12004384-1302	4	.	.	O
S0012821X12004384-1302	4	5a	5a	O
S0012821X12004384-1302	4	)	)	O
S0012821X12004384-1302	4	.	.	O
S0012821X12004384-1302	5	PA1	pa1	O
S0012821X12004384-1302	5	–	–	O
S0012821X12004384-1302	5	PA4	pa4	O
S0012821X12004384-1302	5	(	(	O
S0012821X12004384-1302	5	symbols	symbol	O
S0012821X12004384-1302	5	)	)	O
S0012821X12004384-1302	5	plot	plot	O
S0012821X12004384-1302	5	in	in	O
S0012821X12004384-1302	5	clusters	cluster	O
S0012821X12004384-1302	5	,	,	O
S0012821X12004384-1302	5	signifying	signify	O
S0012821X12004384-1302	5	their	their	O
S0012821X12004384-1302	5	palynological	palynological	O
S0012821X12004384-1302	5	similarity	similarity	O
S0012821X12004384-1302	5	.	.	O
S0012821X12004384-1302	6	The	the	O
S0012821X12004384-1302	6	species	specie	O
S0012821X12004384-1302	6	most	most	O
S0012821X12004384-1302	6	associated	associate	O
S0012821X12004384-1302	6	with	with	O
S0012821X12004384-1302	6	an	an	O
S0012821X12004384-1302	6	assemblage	assemblage	O
S0012821X12004384-1302	6	are	be	O
S0012821X12004384-1302	6	clustered	cluster	O
S0012821X12004384-1302	6	with	with	O
S0012821X12004384-1302	6	the	the	O
S0012821X12004384-1302	6	samples	sample	O
S0012821X12004384-1302	6	from	from	O
S0012821X12004384-1302	6	that	that	O
S0012821X12004384-1302	6	assemblage	assemblage	O
S0012821X12004384-1302	6	.	.	O
S0012821X12004384-1302	7	For	for	O
S0012821X12004384-1302	7	example	example	O
S0012821X12004384-1302	7	,	,	O
S0012821X12004384-1302	7	Inaperturopollenites	Inaperturopollenites	O
S0012821X12004384-1302	7	hiatus	hiatus	O
S0012821X12004384-1302	7	and	and	O
S0012821X12004384-1302	7	bisaccate	bisaccate	O
S0012821X12004384-1302	7	pollen	pollen	O
S0012821X12004384-1302	7	(	(	O
S0012821X12004384-1302	7	highly	highly	O
S0012821X12004384-1302	7	abundant	abundant	O
S0012821X12004384-1302	7	before	before	O
S0012821X12004384-1302	7	the	the	O
S0012821X12004384-1302	7	CIE	CIE	O
S0012821X12004384-1302	7	,	,	O
S0012821X12004384-1302	7	Fig	Fig	O
S0012821X12004384-1302	7	.	.	O
S0012821X12004384-1302	8	8)	8)	O
S0012821X12004384-1302	8	are	be	O
S0012821X12004384-1302	8	high	high	O
S0012821X12004384-1302	8	on	on	O
S0012821X12004384-1302	8	axis	axis	O
S0012821X12004384-1302	8	1	1	O
S0012821X12004384-1302	8	where	where	O
S0012821X12004384-1302	8	the	the	O
S0012821X12004384-1302	8	earlier	early	O
S0012821X12004384-1302	8	samples	sample	O
S0012821X12004384-1302	8	from	from	O
S0012821X12004384-1302	8	PA1	PA1	O
S0012821X12004384-1302	8	and	and	O
S0012821X12004384-1302	8	PA2	PA2	O
S0012821X12004384-1302	8	occur	occur	O
S0012821X12004384-1302	8	,	,	O
S0012821X12004384-1302	8	and	and	O
S0012821X12004384-1302	8	Caryapollenites	caryapollenite	O
S0012821X12004384-1302	8	spp	spp	O
S0012821X12004384-1302	8	.	.	O
S0012821X12004384-1302	9	and	and	O
S0012821X12004384-1302	9	fungal	fungal	O
S0012821X12004384-1302	9	spores	spore	O
S0012821X12004384-1302	9	(	(	O
S0012821X12004384-1302	9	abundant	abundant	O
S0012821X12004384-1302	9	after	after	O
S0012821X12004384-1302	9	the	the	O
S0012821X12004384-1302	9	CIE	CIE	O
S0012821X12004384-1302	9	,	,	O
S0012821X12004384-1302	9	Fig	Fig	O
S0012821X12004384-1302	9	.	.	O
S0012821X12004384-1302	10	8)	8)	O
S0012821X12004384-1302	10	are	be	O
S0012821X12004384-1302	10	low	low	O
S0012821X12004384-1302	10	on	on	O
S0012821X12004384-1302	10	axis	axis	O
S0012821X12004384-1302	10	1	1	O
S0012821X12004384-1302	10	near	near	O
S0012821X12004384-1302	10	the	the	O
S0012821X12004384-1302	10	younger	young	O
S0012821X12004384-1302	10	samples	sample	O
S0012821X12004384-1302	10	from	from	O
S0012821X12004384-1302	10	PA4	PA4	O
S0012821X12004384-1302	10	.	.	O
S0012821X12004384-1302	11	The	the	O
S0012821X12004384-1302	11	two	two	B-Quantity
S0012821X12004384-1302	11	samples	sample	O
S0012821X12004384-1302	11	2619.60	2619.60	B-Quantity
S0012821X12004384-1302	11	and	and	I-Quantity
S0012821X12004384-1302	11	2614.71	2614.71	I-Quantity
S0012821X12004384-1302	11	have	have	O
S0012821X12004384-1302	11	a	a	O
S0012821X12004384-1302	11	spore	spore	O
S0012821X12004384-1302	11	and	and	O
S0012821X12004384-1302	11	pollen	pollen	O
S0012821X12004384-1302	11	palynological	palynological	O
S0012821X12004384-1302	11	signature	signature	O
S0012821X12004384-1302	11	similar	similar	O
S0012821X12004384-1302	11	to	to	O
S0012821X12004384-1302	11	samples	sample	O
S0012821X12004384-1302	11	from	from	O
S0012821X12004384-1302	11	PA3/4	PA3/4	O
S0012821X12004384-1302	11	during	during	O
S0012821X12004384-1302	11	the	the	O
S0012821X12004384-1302	11	CIE	CIE	O
S0012821X12004384-1302	11	(	(	O
S0012821X12004384-1302	11	plot	plot	O
S0012821X12004384-1302	11	lower	lower	O
S0012821X12004384-1302	11	on	on	O
S0012821X12004384-1302	11	axis	axis	O
S0012821X12004384-1302	11	1	1	O
S0012821X12004384-1302	11	)	)	O
S0012821X12004384-1302	11	and	and	O
S0012821X12004384-1302	11	are	be	O
S0012821X12004384-1302	11	either	either	O
S0012821X12004384-1302	11	not	not	O
S0012821X12004384-1302	11	in	in	O
S0012821X12004384-1302	11	the	the	O
S0012821X12004384-1302	11	correct	correct	O
S0012821X12004384-1302	11	location	location	O
S0012821X12004384-1302	11	(	(	O
S0012821X12004384-1302	11	it	it	O
S0012821X12004384-1302	11	can	can	O
S0012821X12004384-1302	11	not	not	O
S0012821X12004384-1302	11	be	be	O
S0012821X12004384-1302	11	discounted	discount	O
S0012821X12004384-1302	11	that	that	O
S0012821X12004384-1302	11	these	these	O
S0012821X12004384-1302	11	samples	sample	O
S0012821X12004384-1302	11	represent	represent	O
S0012821X12004384-1302	11	tectonically	tectonically	O
S0012821X12004384-1302	11	emplaced	emplace	O
S0012821X12004384-1302	11	younger	young	O
S0012821X12004384-1302	11	material	material	O
S0012821X12004384-1302	11	(	(	O
S0012821X12004384-1302	11	Payne	Payne	O
S0012821X12004384-1302	11	et	et	O
S0012821X12004384-1302	11	al	al	O
S0012821X12004384-1302	11	.	.	O
S0012821X12004384-1302	11	,	,	O
S0012821X12004384-1302	11	2005	2005	O
S0012821X12004384-1302	11	)	)	O
S0012821X12004384-1302	11	,	,	O
S0012821X12004384-1302	11	or	or	O
S0012821X12004384-1302	11	were	be	O
S0012821X12004384-1302	11	misplaced	misplace	O
S0012821X12004384-1302	11	during	during	O
S0012821X12004384-1302	11	drilling	drilling	O
S0012821X12004384-1302	11	operations	operation	O
S0012821X12004384-1302	11	core	core	O
S0012821X12004384-1302	11	handling	handling	O
S0012821X12004384-1302	11	)	)	O
S0012821X12004384-1302	11	,	,	O
S0012821X12004384-1302	11	or	or	O
S0012821X12004384-1302	11	represent	represent	O
S0012821X12004384-1302	11	very	very	O
S0012821X12004384-1302	11	short	short	O
S0012821X12004384-1302	11	episodes	episode	O
S0012821X12004384-1302	11	of	of	O
S0012821X12004384-1302	11	both	both	O
S0012821X12004384-1302	11	marine	marine	O
S0012821X12004384-1302	11	and	and	O
S0012821X12004384-1302	11	terrestrial	terrestrial	O
S0012821X12004384-1302	11	ecologic	ecologic	O
S0012821X12004384-1302	11	change	change	O
S0012821X12004384-1302	11	to	to	O
S0012821X12004384-1302	11	CIE	CIE	O
S0012821X12004384-1302	11	-	-	O
S0012821X12004384-1302	11	type	type	O
S0012821X12004384-1302	11	conditions	condition	O
S0012821X12004384-1302	11	.	.	O
S0012821X12004384-1302	12	The	the	O
S0012821X12004384-1302	12	rapid	rapid	O
S0012821X12004384-1302	12	and	and	O
S0012821X12004384-1302	12	transient	transient	O
S0012821X12004384-1302	12	nature	nature	O
S0012821X12004384-1302	12	of	of	O
S0012821X12004384-1302	12	these	these	O
S0012821X12004384-1302	12	two	two	O
S0012821X12004384-1302	12	shifts	shift	O
S0012821X12004384-1302	12	appears	appear	O
S0012821X12004384-1302	12	to	to	O
S0012821X12004384-1302	12	suggest	suggest	O
S0012821X12004384-1302	12	that	that	O
S0012821X12004384-1302	12	the	the	O
S0012821X12004384-1302	12	latter	latter	O
S0012821X12004384-1302	12	explanation	explanation	O
S0012821X12004384-1302	12	may	may	O
S0012821X12004384-1302	12	be	be	O
S0012821X12004384-1302	12	unlikely	unlikely	O
S0012821X12004384-1302	12	,	,	O
S0012821X12004384-1302	12	and	and	O
S0012821X12004384-1302	12	we	we	O
S0012821X12004384-1302	12	have	have	O
S0012821X12004384-1302	12	therefore	therefore	O
S0012821X12004384-1302	12	shaded	shade	O
S0012821X12004384-1302	12	samples	sample	O
S0012821X12004384-1302	12	from	from	O
S0012821X12004384-1302	12	these	these	O
S0012821X12004384-1302	12	two	two	O
S0012821X12004384-1302	12	depths	depth	O
S0012821X12004384-1302	12	in	in	O
S0012821X12004384-1302	12	Figs	Figs	O
S0012821X12004384-1302	12	.	.	O
S0012821X12004384-1302	12	3	3	O
S0012821X12004384-1302	12	,	,	O
S0012821X12004384-1302	12	6–9	6–9	O
S0012821X12004384-1302	12	.	.	O
S0012821X12004384-1405	0	Dinoflagellate	dinoflagellate	O
S0012821X12004384-1405	0	cysts	cyst	O
S0012821X12004384-1405	0	have	have	O
S0012821X12004384-1405	0	been	be	O
S0012821X12004384-1405	0	used	use	O
S0012821X12004384-1405	0	extensively	extensively	O
S0012821X12004384-1405	0	for	for	O
S0012821X12004384-1405	0	reconstructing	reconstruct	O
S0012821X12004384-1405	0	paleoenvironments	paleoenvironment	O
S0012821X12004384-1405	0	in	in	O
S0012821X12004384-1405	0	the	the	O
S0012821X12004384-1405	0	Paleogene	Paleogene	O
S0012821X12004384-1405	0	(	(	O
S0012821X12004384-1405	0	see	see	O
S0012821X12004384-1405	0	overview	overview	O
S0012821X12004384-1405	0	in	in	O
S0012821X12004384-1405	0	Sluijs	Sluijs	O
S0012821X12004384-1405	0	et	et	O
S0012821X12004384-1405	0	al	al	O
S0012821X12004384-1405	0	.	.	O
S0012821X12004384-1405	0	,	,	O
S0012821X12004384-1405	0	2005	2005	O
S0012821X12004384-1405	0	)	)	O
S0012821X12004384-1405	0	,	,	O
S0012821X12004384-1405	0	as	as	O
S0012821X12004384-1405	0	they	they	O
S0012821X12004384-1405	0	are	be	O
S0012821X12004384-1405	0	particularly	particularly	O
S0012821X12004384-1405	0	sensitive	sensitive	O
S0012821X12004384-1405	0	to	to	O
S0012821X12004384-1405	0	changes	change	O
S0012821X12004384-1405	0	in	in	O
S0012821X12004384-1405	0	salinity	salinity	O
S0012821X12004384-1405	0	,	,	O
S0012821X12004384-1405	0	temperature	temperature	O
S0012821X12004384-1405	0	,	,	O
S0012821X12004384-1405	0	and	and	O
S0012821X12004384-1405	0	nutrient	nutrient	O
S0012821X12004384-1405	0	levels	level	O
S0012821X12004384-1405	0	(	(	O
S0012821X12004384-1405	0	Powell	Powell	O
S0012821X12004384-1405	0	et	et	O
S0012821X12004384-1405	0	al	al	O
S0012821X12004384-1405	0	.	.	O
S0012821X12004384-1405	0	,	,	O
S0012821X12004384-1405	0	1992	1992	O
